,Unnamed: 0,property_type,place_name,state_name,lat-lon,price,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,expenses,state_code,place_code,property_type_code
332,4840,apartment,Barracas,Capital Federal,"-34.6398765,-58.3743543",400000.0,400000.0,240.0,240.0,1666.666666666667,,0,14,1
333,4843,house,Barracas,Capital Federal,"-34.6487312,-58.381255",250000.0,250000.0,350.0,300.0,833.3333333333335,,0,14,2
334,4844,apartment,Barracas,Capital Federal,"-34.6346553,-58.3707161",125000.0,125000.0,43.0,43.0,2906.9767441860467,,0,14,1
335,4845,house,Barracas,Capital Federal,"-34.6474429,-58.3788197",270000.0,270000.0,200.0,200.0,1350.0,,0,14,2
336,4846,apartment,Barracas,Capital Federal,"-34.635332,-58.3752356",240000.0,240000.0,69.0,69.0,3478.2608695652175,,0,14,1
337,4848,house,San Telmo,Capital Federal,"-34.6197137,-58.3784768",320000.0,320000.0,286.0,173.0,1849.7109826589594,,0,30,2
338,4854,apartment,Saavedra,Capital Federal,"-34.5489601,-58.4699168",139000.0,139000.0,70.0,70.0,1985.7142857142856,,0,24,1
339,4857,apartment,Barracas,Capital Federal,"-34.65,-58.383333",170000.0,170000.0,87.0,83.0,2048.192771084337,,0,14,1
340,4858,store,Barracas,Capital Federal,"-34.6318822,-58.3762496",400000.0,400000.0,73.0,73.0,5479.45205479452,,0,14,3
341,4859,apartment,Barracas,Capital Federal,"-34.6318822,-58.3762496",170000.0,170000.0,93.0,77.0,2207.792207792208,,0,14,1
342,4860,apartment,Barracas,Capital Federal,"-34.6318822,-58.3762496",270000.0,270000.0,112.0,91.0,2967.032967032967,,0,14,1
343,4862,house,Barracas,Capital Federal,"-34.6462235,-58.3697709",250000.0,250000.0,200.0,200.0,1250.0,,0,14,2
344,4863,house,Barracas,Capital Federal,"-34.6439643,-58.3723608",360000.0,360000.0,170.0,170.0,2117.6470588235293,,0,14,2
345,4864,store,San Telmo,Capital Federal,"-34.6269545,-58.3787118",300000.0,300000.0,332.0,332.0,903.6144578313254,,0,30,3
346,4866,PH,Barracas,Capital Federal,"-34.641094,-58.3773949",185000.0,185000.0,212.0,212.0,872.6415094339623,,0,14,0
347,4867,apartment,Barracas,Capital Federal,"-34.641094,-58.3773949",120000.0,120000.0,80.0,46.0,2608.695652173913,,0,14,1
